,text,label
0,AdvertisingRead moreThis live page is no longer being updated.,
1,"For more on our coverage of the war in Ukraine, click here.11:44pm: UN grain coordinator expects loaded ships to depart Ukraine on ThursdayThe UN coordinator for the Ukraine Black Sea grain deal said UN grain coordinator expects loaded ships to depart Ukrainian ports on ThursdayThe.",
2,“Exports of grain and foodstuffs from Ukraine need to continue.,
3,"Although no movements of vessels are planned for 2 November under the #BlackSeaGrainInitiative, we expect loaded ships to sail on ThursdayThe,” UN coordinator Amir Abdulla posted on Twitter.",
4,Exports of grain and foodstuffs from Ukraine need to continue.,
5,"Although no movements of vessels are planned for 2 November under the #BlackSeaGrainInitiative, we expect loaded ships to sail on ThursdayThe.",
6,"""The grain corridor needs reliable and long-term protection,"" ZelenskyUkraine's President Volodymyr Zelensky said ahead of Wednesday when no cargo movement is expected in the humanitarian corridor.",
7,"""I decided to extend the evacuation zone by 15 kilometres (nine miles) from Dnipro,"" ""I said in a Telegram video.",
8,"Russian President Vladimir Putin told Erdogan in a phone call that Russia sought ""real guarantees from Kyiv about the strict observance of the Istanbul agreement, in particular about not using the humanitarian corridor for military purposes"", according to a statement from the Kremlin.3:51pm: France says Russia endangering world food securityFrench President Emmanuel Macron on Tuesday accused Russia of endangering world food supplies by a unilateral decision by Russia which again harms global food security Russia's participation in a landmark Ukraine grain deal.Russia on Saturday halted Russia's participation in the agreement that allowed vital grain exports from Ukraine, blaming drone attacks on Russian ships in the Crimea.In a call with Ukrainian President Volodymyr Zelensky, securityFrench President Emmanuel Macron ""the announcement a unilateral decision by Russia which again harms global food security"", the president's office said.Russia made the announcement after Russia's army accused Kyiv of a ""massive"" drone attack on Kyiv's Black Sea fleet, which Ukraine labelled a ""false pretext"" and UN urged grain deal's preservation.The July deal to unlock grain exports signed between Russia and Ukraine and brokered by Turkey and UN has been seen as critical to easing the global food crisis caused by the conflict.3:18pm: securityFrench President Emmanuel Macron says France will help Ukraine get through winter, fix securityFrench President Emmanuel Macron, following a telephone call with Ukrainian President Volodymyr Zelensky, said France would help Ukraine get through winter and help repair water and energy infrastructure damaged by Russian strikes.France will also help boost Ukraine's anti-air defences and securityFrench President Emmanuel Macron said securityFrench President Emmanuel Macron and Ukrainian President Volodymyr Zelensky had agreed to hold an international conference in Paris on December 13 to support Ukraine civilians in winter.A bilateral conference on December 12 will also aim at raising support for Ukraine from French companies, securityFrench President Emmanuel Macron said in a statement.3:13pm: securityFrench President Emmanuel Macron, Ukrainian President Volodymyr Zelensky discuss Ukraine's defence needs, restoring energy ZelenskyUkraine's President Volodymyr Zelensky said on Tuesday ZelenskyUkraine's President Volodymyr Zelensky had an ""extremely important and productive conversation"" with securityFrench President Emmanuel Macron about strengthening Ukraine's defence capabilities and restoring damaged energy infrastructure.ZelenskyUkraine's President Volodymyr Zelensky did not say what had been agreed but thanked securityFrench President Emmanuel Macron for securityFrench President Emmanuel Macron's support since Russia invaded Ukraine.",<triplet> Emmanuel Macron <subj> Ukraine <obj> Reject
9,Specific initiatives to restore the destroyed energy infrastructure.,
