,text,label
0,"This is a worrying sign because it's different from Chinese behaviour in the past,"" Shivshankar Menon, a China expert and a former national security advisor, told interviewer Karan Thapar in The Wire, an independent online news portal.",<triplet> Shivshankar Menon <subj> interviewer Karan Thapar <obj> Make Public Statement <subj> The Wire <obj> Make Public Statement
1,Indian students have flocked to Chinese universities.,<triplet> Indian students <subj> Chinese universities <obj> Consult
2,Actress Salma Hayek has also used Actress Salma Hayek's Instagram account to highlight the case to Actress Salma Hayek's 15m followers.,<triplet> Actress Salma Hayek <subj> Actress Salma Hayek's 15m followers <obj> Make Public Statement
3,"a soldier's sister, Mayra, told NBC that Ms Guillen's sister, Mayra had been texting with Ms Guillen's sister, Mayra's sister the day before a soldier's disappearance.",<triplet> NBC <subj> Ms Guillen's sister <obj> Make Public Statement
4,"When BBC Gujarati's Roxy Gadgekar's sister Shefali called BBC Gujarati's Roxy Gadgekar on 11 May and told BBC Gujarati's Roxy Gadgekar my sister Shefali's husband Umesh had been rushed to hospital with breathing difficulties, it was a shock.",<triplet> BBC Gujarati's Roxy Gadgekar <subj> Umesh <obj> Make Public Statement
5,BBC Gujarati's Roxy Gadgekar told BBC Gujarati's Roxy Gadgekar's sister to try taking her husband Umesh to a different hospital.,<triplet> BBC Gujarati's Roxy Gadgekar <subj> BBC Gujarati's Roxy Gadgekar's sister <obj> Make Public Statement
6,"On the way, a relative called BBC Gujarati's Roxy Gadgekar and asked if BBC Gujarati's Roxy Gadgekar could check on her husband Umesh's condition.",<triplet> BBC Gujarati's Roxy Gadgekar <subj> her husband Umesh's condition <obj> Investigate
7,"Where North Korean leader Kim Jong-un's sister, Kim Yo-jong was once seen lurking behind a pillar as North Korean leader Kim Jong-un's sister, Kim Yo-jong's brother delivered an address before a major military parade, North Korean leader Kim Jong-un's sister, Kim Yo-jong is now directing the Korean People's Army to take action.",<triplet> North Korean leader Kim Jong-un's sister <subj> the Korean People's Army <obj> Coerce
8,"Iran’s envoy to IAEA also called upon IAEA members to honor IAEA members's commitments and ""react proportionately to the unlawful conduct of the United States that is endangering international cooperation in the field of nuclear energy and technology. """,<triplet> Iran’s envoy <subj> IAEA members <obj> Consult <subj> IAEA members's commitments <obj> Engage In Diplomatic Cooperation
9,"Meanwhile a Chinese statement quoted China's Wang Yi as saying: ""China again expresses strong protest to India's and demands India's launches a thorough investigation. . . and stop all provocative actions to ensure the same things do not happen again. """,<triplet> a Chinese statement <subj> China's Wang Yi <obj> Make Public Statement
