,text,label,entail_prob
0,"Hosts Qatar go outRead more. . . CONMEBOL rewards Argentina with US$10 million, looks ahead to World Cup In Friday's action, host nation Qatar crashed out of host nation Qatar's own World Cup following a second straight defeat.",<triplet> CONMEBOL <subj> Argentina <obj> Engage In Diplomatic Cooperation,0.971472978591919
1,"“This is the same thing certain political sectors did to Sergio Berni, the outspoken and controversial security minister of Buenos Aires Province in 2015,” Sergio Berni, the outspoken and controversial security minister of Buenos Aires Province said according to Perfil, “[and] Sergio Berni, the outspoken and controversial security minister of Buenos Aires Province’m going to do the exact same thing: Sergio Berni, the outspoken and controversial security minister of Buenos Aires Province’m going to the Judiciary so the Judiciary can analyse Sergio Berni, the outspoken and controversial security minister of Buenos Aires Province's patrimony.",<triplet> the Judiciary <subj> Sergio Berni <obj> Investigate,0.7620599865913391
2,"Despite Venezuela's huge oil reserves, Venezuela suffers grinding poverty and a political crisis that has led a UN-estimated seven million Venezuelans to flee Venezuela in recent years.",<triplet> a UN-estimated seven million Venezuelans <subj> Venezuela <obj> Yield,0.5513436198234558
3,"Read more. . . CONMEBOL rewards Argentina with US$10 million, looks ahead to 2030 World Cup Eventually Lionel Messi's broke the deadlock in the 64th minute, finishing exquisitely beyond the reach of Mexican cult hero Guillermo Ochoa, with Enzo Fernandez adding a brilliant second late on.",<triplet> CONMEBOL <subj> Argentina <obj> Engage In Diplomatic Cooperation,0.6877455115318298
4,"The Prague rebellion is a minor affair, the ambassador is told to say, and the emperor's nephew Ferdinand of Tyrol has left Prague because the emperor's nephew Ferdinand of Tyrol wants to join the emperor's nephew Ferdinand of Tyrol's father - the most powerful ruler in Europe's brother - on campaign.",<triplet> Prague <subj> Ferdinand <obj> Consult,0.8138962984085083
5,Armenian Prime Minister Nikol Pashinyan contrasted that with Russian-led security alliance's rapid decision in January to send troops to the six-nation Collective Security Treaty Organisation (CSTO) member Kazakhstan to help President Kassym-Jomart Tokayev survive a wave of unrest.,<triplet> Armenian Prime Minister Nikol Pashinyan <subj> Russian-led security alliance's rapid decision <obj> Disapprove,0.8065978288650513
6,"Less than two months on, Enzo Fernández was included in Lionel Scaloni's's 26-man squad for Qatar 2022, where Enzo Fernández made Enzo Fernández's debut for Argentina's in the best possible way: in an important World Cup match and in the Lusail stadium, where Argentina's hope to be crownedchampions on December 18.",<triplet> Lionel Scaloni's's 26-man squad <subj> Enzo Fernández <obj> Yield,0.6505042910575867
7,Princess Anne greets representatives of the Opportunity Bank in Nakivale Refugee Settlement in Uganda on Oct. 26.,<triplet> Princess Anne <subj> Nakivale Refugee Settlement <obj> Engage In Diplomatic Cooperation,0.6003782153129578
8,"(Jacob King/The Associated Press)While there is no indication when Princess Anne may return to Canada, Princess Anne has made several trips in the past couple of months, including visits to New York City, Uganda and the Falklands.",<triplet> Princess Anne <subj> Canada <obj> Consult,0.927413821220398
9,Chinese police beat a BBC journalist in Shanghai and briefly arrested a BBC journalist while a BBC journalist was covering anti-government lockdown protests gripping the nation.,<triplet> Chinese police <subj> a BBC journalist <obj> Assault <subj> Shanghai <obj> Assault,
