,paper,title,url
0,f24,"Live: Water, power supplies in Kyiv restored after missile strikes",https://www.france24.com/en/europe/20221101-live-russia-extends-evacuation-zone-in-kherson-region-claims-ukraine-preparing-to-blow-dam
1,cbc,Israelis head to the polls in 5th national election since 2019,https://www.cbc.ca/news/world/israel-election-netanyahu-1.6636283?cmp=rss
2,it,Pak PM Shehbaz Sharif to visit China on Tuesday; to greet Prez Xi Jinping,https://timesofindia.indiatimes.com/world/pakistan/pakistan-pm-shehbaz-sharif-to-visit-china-on-tuesday-to-greet-president-xi-jinping/articleshow/95225270.cms
3,smh,"Police chief calls response to South Korea crowd crush ""inadequate""",https://www.smh.com.au/world/police-chief-calls-response-to-south-korea-crowd-crush-inadequate-20221101-p5bus2.html?ref=rss&utm_medium=rss&utm_source=rss_world
4,smh,Australia signs deal to counter scourge of human trafficking,https://www.smh.com.au/world/asia/australia-signs-deal-to-counter-scourge-of-human-trafficking-20221101-p5buou.html?ref=rss&utm_medium=rss&utm_source=rss_world
0,bbc,Itaewon crush: South Korea police admit response was inadequate,https://www.bbc.co.uk/news/63467200?at_medium=RSS&at_campaign=KARANGA
1,bbc,Ukraine war: Putin suspends Black Sea grain exports deal,https://www.bbc.co.uk/news/world-europe-63467042?at_medium=RSS&at_campaign=KARANGA
2,bbc,Morbi bridge collapse: India PM Modi to visit site,https://www.bbc.co.uk/news/world-asia-india-63467156?at_medium=RSS&at_campaign=KARANGA
3,bbc,Israel election: Netanyahu seeks comeback as country votes,https://www.bbc.co.uk/news/world-middle-east-63458903?at_medium=RSS&at_campaign=KARANGA
4,bbc,Brazil election: Bolsonaro yet to concede after Lula's win,https://www.bbc.co.uk/news/world-latin-america-63451859?at_medium=RSS&at_campaign=KARANGA
5,bbc,Nancy Pelosi: Man charged with attempted kidnap and assault,https://www.bbc.co.uk/news/world-us-canada-63435454?at_medium=RSS&at_campaign=KARANGA
6,bbc,"Iran protests: Authorities charge 1,000 people over Tehran unrest",https://www.bbc.co.uk/news/world-middle-east-63456606?at_medium=RSS&at_campaign=KARANGA
7,bbc,US court blocks Penguin merger with Simon & Schuster,https://www.bbc.co.uk/news/business-63466582?at_medium=RSS&at_campaign=KARANGA
8,bbc,Banker Oleg Tinkov renounces Russian citizenship over Ukraine,https://www.bbc.co.uk/news/world-europe-63466138?at_medium=RSS&at_campaign=KARANGA
9,bbc,Elon Musk dissolves Twitter's board of directors,https://www.bbc.co.uk/news/technology-63458380?at_medium=RSS&at_campaign=KARANGA
