,text,label
0,"Ukraine war: Russian tactics on eastern front 'crazy', says Zelensky.",<triplet> Russian <subj> Ukraine <obj> Fight <triplet> Zelensky <subj> Russian <obj> Make Public Statement
1,Russia has expended huge resources in the town of Bakhmut despite a looming battle in Kherson.,<triplet> Russia <subj> Kherson <obj> Fight <triplet> Russia <subj> town of Bakhmut <obj> Exhibit Military Posture
2,Samsung appoints Lee Jae-yong to top job.,<triplet> Samsung <subj> Lee Jae-yong <obj> Engage In Material Cooperation
3,Lee Jae-yong was found guilty of bribery and embezzlement before being granted a presidential pardon.,<triplet> presidential pardon <subj> Lee Jae-yong <obj> Provide Aid
4,New Zealand Instagram couple 'relieved' after leaving Iran.,<triplet> New Zealand Instagram couple <subj> Iran <obj> Disapprove
5,Iran protests: Police fire on Mahsa Amini mourners - witnesses.,<triplet> Police <subj> Mahsa Amini mourners <obj> Fight
6,Germany plans to legalise recreational cannabis.,<triplet> Germany <subj> recreational cannabis <obj> Make Public Statement
7,Australia World Cup team hits out at hosts Qatar.,<triplet> Australia World Cup team <subj> hosts Qatar <obj> Disapprove
8,Australia World Cup team players have appeared in a video message highlighting the human rights record of hosts Qatar.,<triplet> Australia World Cup team players <subj> hosts Qatar <obj> Make Public Statement
9,Georgia Senate race: Herschel Walker called abortion 'hypocrite' by second woman.,<triplet> second woman <subj> Herschel Walker <obj> Disapprove
10,Putin watches first Russian nuclear drill since invasion of Ukraine.,<triplet> Putin <subj> Ukraine <obj> Fight <triplet> Putin <subj> first Russian nuclear drill <obj> Exhibit Military Posture
11,"first Russian nuclear drill since invasion of Ukraine come as Russia makes unsubstantiated claims that Ukraine plans to use a ""dirty bomb"".",<triplet> Russia <subj> Ukraine <obj> Make Public Statement
12,"Even nuns watch porn, Pope says, warning of risks.",<triplet> Pope <subj> nuns <obj> Make Public Statement
13,Pope was answering a question about how best to navigate the digital world.,<triplet> Pope <subj> the digital world <obj> Make Public Statement
14,Tensions in Iraqi Kurdistan are high after missile and drone attacks from the Iranian Revolutionary Guard.,<triplet> Iranian Revolutionary Guard <subj> Iraqi Kurdistan <obj> Fight
15,Svalbard: The race to save Svalbard.,<triplet> The race <subj> Svalbard <obj> Provide Aid
16,Sudan: 'No-one to intervene' for woman sentenced to stoning.,<triplet> Sudan: <subj> woman <obj> Coerce
17,Kenya battles unsafe Chinese contraceptive pill a decade after ban.,<triplet> Kenya <subj> Chinese contraceptive pill <obj> Disapprove
